Flow_ID,Source IP,Destination IP,Source Port,Destination Port,QUIC Connection ID,QUIC Connection Number,Frame Numbers
142.3.141.47_173.194.56.39_63838_443,142.3.141.47,173.194.56.39,63838,443,e2:78:d1:5f:56:e1:fe:b3__NA,60,3320
142.3.141.47_142.250.217.66_53771_443,142.3.141.47,142.250.217.66,53771,443,50:73:95:a0:b7:f3:e1:a5__NA__f0:73:95:a0:b7:f3:e1:a5,61,18
142.3.141.47_142.250.217.66_53018_443,142.3.141.47,142.250.217.66,53018,443,7c:ab:96:49:11:2f:ba:a2__NA__fc:ab:96:49:11:2f:ba:a2,62,21
142.3.141.47_142.250.217.66_51389_443,142.3.141.47,142.250.217.66,51389,443,33:26:c9:59:74:95:c0:55__NA__f3:26:c9:59:74:95:c0:55,63,16
142.3.141.47_142.250.217.66_51365_443,142.3.141.47,142.250.217.66,51365,443,b9:a1:00:ae:ec:48:f0:65__NA__f9:a1:00:ae:ec:48:f0:65,64,20
142.3.141.47_172.217.14.227_58762_443,142.3.141.47,172.217.14.227,58762,443,37:d4:f7:64:78:3f:5d:6a__NA__f7:d4:f7:64:78:3f:5d:6a,65,38
142.3.141.47_142.251.215.228_61943_443,142.3.141.47,142.251.215.228,61943,443,2e:e0:a7:f6:35:d5:df:32__NA__ee:e0:a7:f6:35:d5:df:32,66,9
142.3.141.47_142.250.217.106_58488_443,142.3.141.47,142.250.217.106,58488,443,8a:cb:a8:13:45:09:ac:da__NA__ea:cb:a8:13:45:09:ac:da,67,16
142.3.141.47_142.250.217.99_57084_443,142.3.141.47,142.250.217.99,57084,443,cf:3b:e4:24:55:57:18:bd__NA__ef:3b:e4:24:55:57:18:bd,68,11
142.3.141.47_142.250.69.202_60085_443,142.3.141.47,142.250.69.202,60085,443,8b:41:95:1b:8e:3f:6f:06__NA__eb:41:95:1b:8e:3f:6f:06,69,11
142.3.141.47_142.250.217.99_58114_443,142.3.141.47,142.250.217.99,58114,443,fa:c7:c2:4c:32:e4:cb:d6__NA,70,10
142.3.141.47_172.217.4.195_63449_443,142.3.141.47,172.217.4.195,63449,443,e8:b1:c2:5c:ef:50:d8:e0__NA,71,22
142.3.141.47_142.251.33.102_53182_443,142.3.141.47,142.251.33.102,53182,443,ae:df:22:f4:62:a4:45:30__NA__ee:df:22:f4:62:a4:45:30,72,13
142.3.141.47_142.251.33.102_53415_443,142.3.141.47,142.251.33.102,53415,443,e9:7d:09:32:e2:46:96:9b__NA,73,15
142.3.141.47_142.251.33.102_49867_443,142.3.141.47,142.251.33.102,49867,443,f0:5e:64:89:85:6a:dc:db__NA,74,18
142.3.141.47_142.251.215.228_62509_443,142.3.141.47,142.251.215.228,62509,443,b2:48:ab:1f:af:73:13:9c__NA__f2:48:ab:1f:af:73:13:9c,75,19
142.3.141.47_142.250.69.195_63722_443,142.3.141.47,142.250.69.195,63722,443,c3:ff:7c:48:54:3c:73:31__NA__e3:ff:7c:48:54:3c:73:31,76,18
142.3.141.47_142.251.33.106_56141_443,142.3.141.47,142.251.33.106,56141,443,65:d5:5b:0c:e9:45:05:fe__NA__e5:d5:5b:0c:e9:45:05:fe,77,76
142.3.141.47_172.217.14.227_59326_443,142.3.141.47,172.217.14.227,59326,443,fc:4d:df:95:4f:4b:b6:d0__NA,78,20
142.3.141.47_142.251.33.110_60448_443,142.3.141.47,142.251.33.110,60448,443,27:91:47:7f:e2:a5:a3:ac__NA__e7:91:47:7f:e2:a5:a3:ac,79,20
142.3.141.47_142.250.69.206_63147_443,142.3.141.47,142.250.69.206,63147,443,23:a8:e2:ec:60:5f:a7:3d__NA__e3:a8:e2:ec:60:5f:a7:3d,80,23
